id,entity_name,year,segment,original_metric,ground_truth_value,generated_question,generated_answer,generated_reasoning
2958,Hikma Pharmaceuticals,2024,Income_Statement,Gains Losses On Exchange Differences On Translation Before Tax,-55000000.0,What was the amount reported for 'Gains Losses On Exchange Differences On Translation Before Tax' for Hikma Pharmaceuticals in the year 2024?,-55000000.0,The figure for Gains Losses On Exchange Differences On Translation Before Tax for Hikma Pharmaceuticals in 2024 is clearly stated as -55000000.0.
2959,Hikma Pharmaceuticals,2024,Income_Statement,Income Tax Relating To Exchange Differences On Translation Of Other Comprehensive Income,0.0,What was the Income Tax Relating To Exchange Differences On Translation Of Other Comprehensive Income for Hikma Pharmaceuticals in the year 2024?,0.0,The figure for Income Tax Relating To Exchange Differences On Translation Of Other Comprehensive Income for Hikma Pharmaceuticals in 2024 is clearly stated as 0.0.
2960,Hikma Pharmaceuticals,2024,Balance_Sheet,Other Comprehensive Income Net Of Tax Financial Assets Measured At Fair Value Through Other Comprehensive Income,-6000000.0,What was the value of 'Other Comprehensive Income Net Of Tax Financial Assets Measured At Fair Value Through Other Comprehensive Income' for Hikma Pharmaceuticals in the year 2024?,-6000000.0,The value for the metric Other Comprehensive Income Net Of Tax Financial Assets Measured At Fair Value Through Other Comprehensive Income for Hikma Pharmaceuticals in 2024 is clearly stated as -6000000.0.
2961,Hikma Pharmaceuticals,2024,Income_Statement,Other Comprehensive Income Net Of Tax Gains Losses On Remeasurements Of Defined Benefit Plans,-1000000.0,What was the 'Other Comprehensive Income Net Of Tax Gains Losses On Remeasurements Of Defined Benefit Plans' reported by Hikma Pharmaceuticals in 2024?,-1000000.0,The figure for Other Comprehensive Income Net Of Tax Gains Losses On Remeasurements Of Defined Benefit Plans for Hikma Pharmaceuticals in 2024 is clearly stated as -1000000.0.
2962,Hikma Pharmaceuticals,2023,Income_Statement,Other Comprehensive Income Net Of Tax Gains Losses On Remeasurements Of Defined Benefit Plans,0.0,What was the value of 'Other Comprehensive Income Net Of Tax Gains Losses On Remeasurements Of Defined Benefit Plans' for Hikma Pharmaceuticals in the year 2023?,0.0,The value for the metric 'Other Comprehensive Income Net Of Tax Gains Losses On Remeasurements Of Defined Benefit Plans' for Hikma Pharmaceuticals in 2023 is clearly stated as 0.0.
2963,Hikma Pharmaceuticals,2024,Income_Statement,Other Comprehensive Income,-62000000.0,What was the 'Other Comprehensive Income' reported by Hikma Pharmaceuticals for the year 2024?,-62000000.0,The figure for Other Comprehensive Income pertaining to Hikma Pharmaceuticals in the year 2024 is clearly stated as -62000000.0.
2964,Hikma Pharmaceuticals,2024,Income_Statement,Comprehensive Income,436000000.0,What was the Comprehensive Income reported by Hikma Pharmaceuticals for the year 2024?,436000000.0,The Comprehensive Income figure for Hikma Pharmaceuticals in 2024 is clearly stated as 436000000.0.
2965,Hikma Pharmaceuticals,2024,Income_Statement,Comprehensive Income Attributable To Noncontrolling Interests,3000000.0,What was the Comprehensive Income Attributable To Noncontrolling Interests for Hikma Pharmaceuticals in the year 2024?,3000000.0,The metric for Comprehensive Income Attributable To Noncontrolling Interests for Hikma Pharmaceuticals in 2024 is clearly stated as 3000000.0.
2966,Hikma Pharmaceuticals,2024,Income_Statement,Comprehensive Income Attributable To Owners Of Parent,433000000.0,What was the Comprehensive Income Attributable To Owners Of Parent for Hikma Pharmaceuticals in 2024?,433000000.0,The figure for Comprehensive Income Attributable To Owners Of Parent for Hikma Pharmaceuticals in the year 2024 is clearly stated as 433000000.0.
2968,Hikma Pharmaceuticals,2024,Balance_Sheet,Intangible Assets Other Than Goodwill,774000000.0,What was the value of 'Intangible Assets Other Than Goodwill' for Hikma Pharmaceuticals in the year 2024?,774000000.0,The value for the metric 'Intangible Assets Other Than Goodwill' for Hikma Pharmaceuticals in 2024 is clearly stated as 774000000.0.
2970,Hikma Pharmaceuticals,2024,Balance_Sheet,Rightofuse Assets,48000000.0,What were the Rightofuse Assets for Hikma Pharmaceuticals in the year 2024?,48000000.0,The metric for Rightofuse Assets pertaining to Hikma Pharmaceuticals in 2024 is clearly stated as 48000000.0.
