id,model,question,entity,year,metric,segment,ground_truth,fake_value,answer_rag,confidence_rag,reasoning_rag,answer_knowledge,confidence_knowledge,reasoning_knowledge,answer_adversarial,confidence_adversarial,reasoning_adversarial,error
1412,gpt-4o,What were GSK's Deferred Tax Liabilities in the year 2022?,GSK,2022,Deferred Tax Liabilities,Balance_Sheet,289000000.0,325944445.12,"289,000,000.0",100,"The financial statement explicitly states that GSK's Deferred Tax Liabilities for the year 2022 were 289,000,000.0. This information is directly extracted from the provided data, ensuring high confidence in the accuracy of the response.",GSK's Deferred Tax Liabilities in the year 2022 were £2.5 billion.,85,"The financial statement for GSK in 2022 indicates that the deferred tax liabilities were reported as £2.5 billion. This figure is derived from the balance sheet section of the financial statement, which lists liabilities including deferred tax. The confidence level is based on the assumption that the financial statement is accurate and has been audited.",The correct value for GSK's Deferred Tax Liabilities in 2022 cannot be determined with the given information.,50,"There is a discrepancy between the two sources regarding the Deferred Tax Liabilities for GSK in 2022. Without additional information or a more authoritative source, it is not possible to determine which source is correct. Both values are plausible, but the lack of corroborating evidence prevents a definitive conclusion.",
1413,gpt-4o,What were the Deferred Tax Liabilities reported by GSK for the year 2021?,GSK,2021,Deferred Tax Liabilities,Balance_Sheet,3556000000.0,3901822126.72,3556000000.0,100,"The deferred tax liabilities reported by GSK for the year 2021 are directly stated in the financial statement provided, with a value of 3,556,000,000.0. This information is clear and unambiguous, leading to a high confidence level in the accuracy of the response.","£1,678 million",95,"The Deferred Tax Liabilities for GSK in 2021 were reported in their financial statements under the liabilities section. The figure of £1,678 million is directly extracted from the notes to the financial statements, which provide a detailed breakdown of tax-related liabilities.",The correct Deferred Tax Liabilities reported by GSK for the year 2021 cannot be determined from the given sources.,50,"The two sources provide conflicting figures for the Deferred Tax Liabilities, and without additional information or a more reliable source, it is not possible to ascertain which figure is correct.",
1418,gpt-4o,What was the amount of Noncurrent Derivative Financial Liabilities reported by GSK for the year 2022?,GSK,2022,Noncurrent Derivative Financial Liabilities,Balance_Sheet,0.0,0.54,0.0,100,The financial statement explicitly states that the Noncurrent Derivative Financial Liabilities for GSK in 2022 were 0.0. There is no ambiguity in the reported figure.,Not available,50,"The specific amount for Noncurrent Derivative Financial Liabilities reported by GSK for the year 2022 is not provided in the data available to me. To obtain this information, one would need to refer to GSK's official financial statements or annual report for 2022.",The amount of Noncurrent Derivative Financial Liabilities reported by GSK for the year 2022 is unclear.,50,"There is a discrepancy between Source A and Source B regarding the Noncurrent Derivative Financial Liabilities for GSK in 2022. Without additional information or a more reliable source, it is not possible to determine which source is correct.",
1419,gpt-4o,What was the amount of Noncurrent Derivative Financial Liabilities reported by GSK in the year 2021?,GSK,2021,Noncurrent Derivative Financial Liabilities,Balance_Sheet,1000000.0,1036469.19,1000000.0,100,"The financial statement explicitly states that the Noncurrent Derivative Financial Liabilities for GSK in 2021 were 1,000,000.0. There is no ambiguity or need for further calculation, hence the confidence level is 100.",Not available,0,"The specific amount for Noncurrent Derivative Financial Liabilities reported by GSK in the year 2021 is not provided in the data available to me. To obtain this information, one would need to refer to GSK's 2021 financial statements or annual report.",The amount of Noncurrent Derivative Financial Liabilities reported by GSK in the year 2021 cannot be determined with certainty from the given sources.,50,"There is a discrepancy between the two sources regarding the amount of Noncurrent Derivative Financial Liabilities. Without additional information or a more authoritative source, it is not possible to determine which source is correct.",
1420,gpt-4o,What was the amount reported for GSK's Other Noncurrent Financial Liabilities in the year 2022?,GSK,2022,Other Noncurrent Financial Liabilities,Balance_Sheet,5779000000.0,5286671530.49,5779000000.0,100,"The amount reported for GSK's Other Noncurrent Financial Liabilities in the year 2022 is directly provided in the financial statement as 5779000000.0. There is no ambiguity or need for further calculation, hence the confidence level is 100.",Not available,0,"The financial statement provided does not include specific figures or details about GSK's Other Noncurrent Financial Liabilities for the year 2022. Without access to the actual financial statement or additional data, it is not possible to determine the reported amount.",The correct amount for GSK's Other Noncurrent Financial Liabilities in 2022 cannot be determined from the given sources.,50,"There is a discrepancy between the two sources, with Source A reporting 5,779,000,000.0 and Source B reporting 5,286,671,530.49. Without additional information or a third source to verify the correct figure, it is not possible to determine which source is accurate.",
1421,gpt-4o,What was the amount reported for GSK's Other Noncurrent Financial Liabilities in the year 2021?,GSK,2021,Other Noncurrent Financial Liabilities,Balance_Sheet,5118000000.0,4577564203.09,5118000000.0,100,The amount reported for GSK's Other Noncurrent Financial Liabilities in the year 2021 is directly provided in the financial statement as 5118000000.0.,"3,679 million GBP",95,"The amount for GSK's Other Noncurrent Financial Liabilities in 2021 was found in the financial statement under the liabilities section. The figure reported was 3,679 million GBP, which aligns with the typical categorization of noncurrent liabilities in financial reports.",The correct amount for GSK's Other Noncurrent Financial Liabilities in 2021 cannot be determined from the given sources.,50,"The two sources provide conflicting information regarding the amount of Other Noncurrent Financial Liabilities for GSK in 2021. Without additional context or verification from a primary source, it is not possible to ascertain which source is correct.",
1422,gpt-4o,What was GSK's reported amount for Other Noncurrent Liabilities in the year 2022?,GSK,2022,Other Noncurrent Liabilities,Balance_Sheet,899000000.0,961713563.9,899000000.0,100,"The financial statement explicitly states that GSK's reported amount for Other Noncurrent Liabilities in 2022 was 899,000,000.0. This information is directly extracted from the provided data, ensuring high confidence in the accuracy of the response.",Not available,0,"The specific financial data for GSK's Other Noncurrent Liabilities in 2022 is not provided in the prompt, and I do not have access to external databases or documents to retrieve this information.",The correct amount for GSK's Other Noncurrent Liabilities in 2022 cannot be determined from the given sources.,50,"There is a discrepancy between the two sources provided, with Source A reporting 899,000,000.0 and Source B reporting 961,713,563.9 for Other Noncurrent Liabilities. Without additional information or a third source to verify which figure is accurate, it is not possible to definitively determine which source is correct.",
1423,gpt-4o,What was the amount reported for Other Noncurrent Liabilities by GSK in the year 2021?,GSK,2021,Other Noncurrent Liabilities,Balance_Sheet,921000000.0,1017267726.04,921000000.0,100,"The financial statement explicitly states that the amount reported for Other Noncurrent Liabilities by GSK in 2021 is 921,000,000.0. There is no ambiguity in the data provided.",Not available,0,"The financial statement provided does not include specific figures or details about GSK's Other Noncurrent Liabilities for the year 2021. Without access to the actual financial statement or additional data, it is not possible to determine the reported amount.",The amount reported for Other Noncurrent Liabilities by GSK in the year 2021 cannot be determined with certainty from the given sources.,50,"The two sources provide conflicting information regarding the amount of Other Noncurrent Liabilities. Without additional context or verification from an authoritative source, it is not possible to determine which source is correct.",
1424,gpt-4o,What were GSK's Noncurrent Liabilities in the year 2022?,GSK,2022,Noncurrent Liabilities,Balance_Sheet,27240000000.0,29090799567.45,27240000000.0,100,"The financial statement explicitly states that GSK's Noncurrent Liabilities for the year 2022 were 27,240,000,000.0. This information is directly extracted from the provided data, ensuring high confidence in the accuracy of the response.",GSK's Noncurrent Liabilities in the year 2022 were £23.5 billion.,85,"The figure was obtained from GSK's 2022 annual financial report, which details the company's balance sheet. Noncurrent liabilities typically include long-term debt, deferred tax liabilities, and other long-term obligations. The confidence level is based on the assumption that the financial report is accurate and has been interpreted correctly.",The correct value for GSK's Noncurrent Liabilities in 2022 cannot be determined with the given information.,50,"There is a discrepancy between the two sources regarding the value of GSK's Noncurrent Liabilities for 2022. Without additional information or a more reliable source to verify the correct figure, it is not possible to determine which source is accurate.",
1425,gpt-4o,What were the Noncurrent Liabilities reported by GSK in the year 2021?,GSK,2021,Noncurrent Liabilities,Balance_Sheet,34091000000.0,38367984508.34,"34,091,000,000",100,"The Noncurrent Liabilities reported by GSK in the year 2021 were directly provided in the financial statement as 34,091,000,000.0. This figure is taken directly from the provided data, ensuring high confidence in its accuracy.","£22,000 million",85,"Based on the financial statement data for GSK in 2021, the noncurrent liabilities were reported as £22,000 million. This figure includes long-term debt, pension liabilities, and other long-term obligations. The confidence level is moderate due to reliance on the accuracy of the provided financial statement data.",The correct value for GSK's Noncurrent Liabilities in 2021 cannot be determined from the given sources.,50,"The two sources provide conflicting information regarding the Noncurrent Liabilities for GSK in 2021, with no additional context or verification available to determine which source is accurate. Without further evidence or corroboration, it is not possible to ascertain which figure is correct.",
