name,contextRef,unitRef,decimals,value,unit_id,measure,context_id,entity_identifier,entity_scheme,start_date,end_date,instant,scenario
frs-core:PropertyPlantEquipment,CURRENT_FY_END,GBP,0,"12,639",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:PropertyPlantEquipment,PREVIOUS_FY_END,GBP,0,"8,983",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:FixedAssets,CURRENT_FY_END,GBP,0,"12,639",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:FixedAssets,PREVIOUS_FY_END,GBP,0,"8,983",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Debtors,CURRENT_FY_END,GBP,0,"80,511",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:Debtors,PREVIOUS_FY_END,GBP,0,"152,459",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:CashBankOnHand,CURRENT_FY_END,GBP,0,"144,560",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:CashBankOnHand,PREVIOUS_FY_END,GBP,0,"156,943",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:CurrentAssets,CURRENT_FY_END,GBP,0,"225,071",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:CurrentAssets,PREVIOUS_FY_END,GBP,0,"309,402",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Creditors,CURRENT_FY_END,GBP,0,"51,611",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:Creditors,PREVIOUS_FY_END,GBP,0,"41,476",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:NetCurrentAssetsLiabilities,CURRENT_FY_END,GBP,0,"173,460",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:NetCurrentAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"267,926",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,CURRENT_FY_END,GBP,0,"186,099",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:TotalAssetsLessCurrentLiabilities,PREVIOUS_FY_END,GBP,0,"276,909",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:NetAssetsLiabilities,CURRENT_FY_END,GBP,0,"186,099",GBP,iso4217:GBP,CURRENT_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
frs-core:NetAssetsLiabilities,PREVIOUS_FY_END,GBP,0,"276,909",GBP,iso4217:GBP,PREVIOUS_FY_END,08948140,http://www.companieshouse.gov.uk/,,,2019-03-31,
frs-core:Equity,CURRENT_FY_END_ShareCapital,GBP,0,100,GBP,iso4217:GBP,CURRENT_FY_END_ShareCapital,08948140,http://www.companieshouse.gov.uk/,,,2020-03-31,
